TokenName,BytecodeFile,FunctionName,BackdoorTypes
Intelligent Streaming Media Chain,Intelligent Streaming Media Chain.bytecode,buy,Token Generation
Intelligent Streaming Media Chain,Intelligent Streaming Media Chain.bytecode,transfer,Transaction Limitation
